[INFO 7:43:35 PM] miguelsolorio.symbols activated
[INFO 7:43:35 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:43:35 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:43:35 PM] symbols.files.associations changed, updating to undefined
[INFO 7:43:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:43:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:43:37 PM] symbols.files.associations changed, updating to undefined
[INFO 7:43:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:43:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:43:42 PM] symbols.files.associations changed, updating to undefined
[INFO 7:43:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:43:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:43:47 PM] symbols.files.associations changed, updating to undefined
[INFO 7:43:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:43:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:43:47 PM] symbols.files.associations changed, updating to undefined
[INFO 7:44:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:44:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:44:06 PM] symbols.files.associations changed, updating to undefined
[INFO 7:44:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:44:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:44:07 PM] symbols.files.associations changed, updating to undefined
