[INFO 7:44:08 PM] miguelsolorio.symbols activated
[INFO 7:44:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:44:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:44:08 PM] symbols.files.associations changed, updating to undefined
[INFO 7:44:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:44:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:44:09 PM] symbols.files.associations changed, updating to undefined
[INFO 7:44:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:44:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:44:49 PM] symbols.files.associations changed, updating to undefined
[INFO 7:56:29 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:56:29 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:56:29 PM] symbols.files.associations changed, updating to undefined
[INFO 8:02:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:02:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:02:25 PM] symbols.files.associations changed, updating to undefined
[INFO 8:11:32 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:11:32 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:11:32 PM] symbols.files.associations changed, updating to undefined
[INFO 8:15:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:15:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:15:14 PM] symbols.files.associations changed, updating to undefined
[INFO 8:15:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:15:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:15:15 PM] symbols.files.associations changed, updating to undefined
