[INFO 7:23:36 PM] miguelsolorio.symbols activated
[INFO 7:23:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:23:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:23:36 PM] symbols.files.associations changed, updating to undefined
[INFO 7:23:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:23:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:23:37 PM] symbols.files.associations changed, updating to undefined
[INFO 7:24:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:24:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:24:43 PM] symbols.files.associations changed, updating to undefined
[INFO 7:26:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:26:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:26:24 PM] symbols.files.associations changed, updating to undefined
[INFO 7:26:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:26:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:26:25 PM] symbols.files.associations changed, updating to undefined
[INFO 7:26:33 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:26:33 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:26:33 PM] symbols.files.associations changed, updating to undefined
[INFO 7:33:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:33:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:33:01 PM] symbols.files.associations changed, updating to undefined
[INFO 7:44:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:44:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:44:07 PM] symbols.files.associations changed, updating to undefined
[INFO 7:44:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:44:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:44:49 PM] symbols.files.associations changed, updating to undefined
[INFO 7:53:58 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:53:58 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:53:58 PM] symbols.files.associations changed, updating to undefined
[INFO 7:57:29 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:57:29 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:57:29 PM] symbols.files.associations changed, updating to undefined
[INFO 7:57:41 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:57:41 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:57:41 PM] symbols.files.associations changed, updating to undefined
[INFO 7:58:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:58:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:58:10 PM] symbols.files.associations changed, updating to undefined
[INFO 8:01:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:01:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:01:24 PM] symbols.files.associations changed, updating to undefined
[INFO 8:02:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:02:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:02:42 PM] symbols.files.associations changed, updating to undefined
[INFO 8:04:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:04:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:04:16 PM] symbols.files.associations changed, updating to undefined
[INFO 8:11:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:11:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:11:06 PM] symbols.files.associations changed, updating to undefined
[INFO 8:11:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:11:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:11:14 PM] symbols.files.associations changed, updating to undefined
[INFO 8:11:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:11:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:11:14 PM] symbols.files.associations changed, updating to undefined
[INFO 8:11:29 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:11:29 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:11:29 PM] symbols.files.associations changed, updating to undefined
[INFO 8:15:03 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:15:03 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:15:03 PM] symbols.files.associations changed, updating to undefined
[INFO 8:15:04 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:15:04 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:15:04 PM] symbols.files.associations changed, updating to undefined
