[INFO 8:58:20 PM] miguelsolorio.symbols activated
[INFO 8:58:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:58:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:58:20 PM] symbols.files.associations changed, updating to undefined
[INFO 8:58:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:58:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:58:25 PM] symbols.files.associations changed, updating to undefined
[INFO 8:58:26 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:58:26 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:58:26 PM] symbols.files.associations changed, updating to undefined
