[INFO 8:57:42 PM] miguelsolorio.symbols activated
[INFO 8:57:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:57:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:57:42 PM] symbols.files.associations changed, updating to undefined
[INFO 8:57:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:57:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:57:43 PM] symbols.files.associations changed, updating to undefined
[INFO 8:58:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:58:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:58:10 PM] symbols.files.associations changed, updating to undefined
[INFO 8:58:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:58:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:58:18 PM] symbols.files.associations changed, updating to undefined
