[INFO 11:05:23 PM] miguelsolorio.symbols activated
[INFO 11:05:23 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:05:23 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:05:23 PM] symbols.files.associations changed, updating to undefined
[INFO 11:05:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:05:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:05:24 PM] symbols.files.associations changed, updating to undefined
[INFO 11:06:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:07 PM] symbols.files.associations changed, updating to undefined
[INFO 11:06:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:20 PM] symbols.files.associations changed, updating to undefined
[INFO 11:06:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:28 PM] symbols.files.associations changed, updating to undefined
[INFO 11:06:33 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:33 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:33 PM] symbols.files.associations changed, updating to undefined
[INFO 11:06:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:06:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 11:06:34 PM] symbols.files.associations changed, updating to undefined
